VCL_PROG_MIN,STR_PROG_MIN,VCL_IMM_MAX,avg_total_mae
45,0.6,12,43.75
55,0.4,3,43.76
55,0.45,10,43.76
45,0.65,4,43.78
45,0.6,14,43.82
15,0.75,9,43.82
15,0.75,2,43.85
55,0.5,10,43.86
50,0.55,11,43.88
10,0.75,9,43.88
10,0.65,12,43.89
50,0.6,5,43.9
20,0.7,11,43.91
30,0.7,13,43.91
55,0.45,11,43.92
10,0.4,8,43.93
50,0.6,7,43.94
10,0.5,14,43.96
10,0.45,10,43.96
50,0.6,6,43.97
55,0.5,11,43.97
10,0.65,14,43.98
40,0.65,3,43.99
50,0.6,9,44.01
50,0.6,8,44.01
35,0.7,10,44.02
40,0.65,12,44.05
40,0.65,14,44.11
25,0.75,10,44.15
30,0.75,3,44.15
25,0.7,12,44.18
50,0.6,4,44.18
50,0.55,12,44.19
55,0.45,12,44.22
50,0.55,3,44.23
20,0.7,13,44.24
20,0.4,14,44.24
25,0.7,14,44.25
25,0.75,2,44.25
50,0.55,14,44.26
55,0.5,12,44.26
10,0.7,10,44.28
55,0.45,14,44.28
55,0.55,9,44.29
50,0.45,2,44.29
55,0.5,14,44.33
55,0.55,5,44.34
55,0.55,8,44.38
55,0.55,7,44.38
15,0.45,13,44.41
55,0.55,6,44.41
20,0.75,10,44.45
35,0.7,3,44.45
45,0.65,10,44.47
10,0.45,11,44.5
30,0.7,12,44.51
30,0.75,10,44.53
15,0.7,11,44.57
30,0.7,14,44.57
20,0.8,5,44.58
15,0.45,12,44.59
10,0.4,9,44.62
40,0.7,5,44.67
10,0.8,5,44.67
15,0.8,5,44.68
40,0.7,9,44.69
55,0.55,4,44.71
40,0.7,7,44.71
35,0.75,5,44.72
45,0.65,13,44.72
40,0.7,6,44.74
10,0.8,4,44.76
15,0.4,11,44.76
35,0.75,7,44.76
40,0.7,8,44.79
35,0.75,6,44.79
55,0.45,3,44.8
20,0.7,12,44.83
10,0.7,11,44.85
20,0.8,4,44.87
15,0.7,13,44.9
20,0.7,14,44.9
50,0.5,2,44.9
15,0.75,10,44.91
35,0.7,11,44.92
10,0.45,12,44.93
50,0.6,10,44.96
40,0.7,4,44.96
10,0.75,10,44.97
15,0.8,4,44.97
55,0.5,3,45.0
35,0.75,4,45.0
45,0.65,11,45.0
20,0.8,6,45.01
50,0.6,13,45.02
10,0.45,13,45.03
55,0.55,13,45.05
35,0.75,9,45.1
25,0.75,11,45.11
35,0.7,13,45.13
20,0.8,7,45.18
35,0.75,8,45.2
25,0.8,5,45.2
30,0.75,2,45.2
15,0.45,14,45.22
55,0.55,10,45.24
